0	2	24
0	2	48
0	2	70
0	2	93
0	2	116
0	2	139
0	2	161
0	2	185
0	2	207
0	2	231
0	2	253
0	2	276
0	2	300
0	1	322
0	2	345
0	2	368
0	2	391
0	2	414
0	2	437
0	2	459
0	2	483
0	2	505
0	2	529
0	2	551
0	2	574
0	2	598
0	1	620
0	2	643
0	2	666
0	2	689
0	2	712
0	2	735
0	2	757
0	2	781
0	2	803
0	2	827
0	2	849
0	2	872
0	2	896
0	1	918
0	2	942
0	2	964
0	2	987
200	2	1010
200	2	1033
200	2	1056
200	2	1079
200	2	1102
200	2	1125
200	2	1148
200	1	1172
200	2	1195
200	2	1218
200	2	1241
200	2	1264
200	1	1287
200	2	1310
200	2	1333
200	2	1356
200	2	1379
200	2	1402
200	2	1425
200	2	1448
200	2	1471
200	3	1495
200	2	1517
200	2	1541
200	2	1563
200	2	1587
200	1	1609
200	2	1633
200	2	1656
200	2	1680
200	2	1702
200	2	1726
200	2	1750
200	1	1773
200	1	1796
200	0	1819
200	1	1843
200	1	1865
200	1	1889
200	1	1912
200	1	1935
200	1	1958
200	0	1982
200	0	2004
200	1	2028
200	1	2052
200	0	2074
200	0	2098
200	1	2120
200	0	2144
200	0	2167
200	0	2190
200	1	2213
200	1	2236
200	0	2259
200	0	2283
200	1	2306
200	1	2329
200	1	2352
200	0	2375
200	1	2399
200	1	2421
200	1	2445
200	1	2468
200	1	2491
200	0	2514
200	2	2537
200	1	2561
200	2	2583
200	0	2607
200	2	2630
200	1	2653
200	1	2676
200	1	2700
200	2	2722
200	0	2746
200	0	2768
200	0	2792
200	0	2816
200	3	2838
200	3	2862
200	3	2884
200	3	2907
200	3	2930
200	3	2953
200	2	2976
200	1	2999
200	1	3022
200	2	3046
200	3	3068
200	3	3092
200	2	3115
200	3	3137
200	3	3161
200	4	3183
200	3	3207
200	0	3229
200	3	3253
200	3	3275
200	3	3299
200	3	3321
200	3	3345
200	2	3367
200	3	3391
200	3	3414
200	4	3437
200	2	3460
200	3	3483
200	2	3506
200	3	3529
200	4	3552
200	4	3574
200	3	3598
200	4	3620
200	3	3644
200	3	3666
200	1	3690
200	2	3713
200	3	3736
200	4	3759
200	4	3782
200	4	3805
